,content_clean
35715,فضفضه انا لي علاقه بشخص من سنين واحنا الاثنين نحب بعض تقدم لي اكثر من مره اهلي مارضو بحكم انه مو سعودي ، يعلم الله ان علاقتي معاه بس بالجوال
94697,عمرك حسيت انك طول عمرك ضايع لا التخصص اللي درسته تحبه ولا الوظيفة اللي انت فيها راضي عليها وصحيح انك مو راضي بس بعد كان ماعندك احلام ولا عمرك حلمت في شيء بحد ذاته وحتي من ناحية الناس عايش علي البركة ماتحتاج احد بس اذا احد كلمك عادي واذا سحب عليك عادي واذا اختفي ماتشتاق له
128176,بعد شهر رمضان ناس تنتظر الخطوبة وناس تنتظر الزواج وانت وش تنتظر ؟
81278,لا ترفض الاسد الجوزاء الدلو لانهم اصدقاء حقيقيون ولا يعتقدون او يفكرون بالسوء لاي شخص لا تخدع العذراء الميزان العقرب فـانهم يحتفظون بالاسرار ولا يمكنهم خداع الناس بدموع التماسيح
52404,للجعفري سيف سيقطع به يد السعورية وهذا تحد لن يمر علي صهينوية السعور لا اظن غباء السعور سيمنعهم من
2092,من الخاص انا ناوية اعزم حمولتي لبيتي وابي محلات تبيع موالح لذيذة لاني مراح اعشيهم بس شاهي وقهوة زيارة خفيفة اقترحوا لي وش الاصناف اللي احطها ومن وين ؟
93872,لرواد الاعمال ، مسك تعلن عن اخر فرصة للتسجيل حتي يناير بـ مسرعة مسك للدفعة التاسعة
35992,اذا كنت ترغب بالاستثمار في الشركات التقنية الناشئة ؛ تواصل معنا علي الرسائل الخاصة ، نساعدك في البحث الفحص والاختيار الانسب
20819,مفارقة عجيبه ان ينهزم جيش اسرائيل الذي تموله اقوي واغني دول العالم امام المقاومه اللبنانية وان يصمد الجيش
119699,من كثر ما اكره كلمه سوق العمل قررت اسوي سوق خاص فيني
22372,اهلي عمرهم ما كلموني في حاجة ولا سالوني انت رايح فين ولا بتعمل ايه ولا بتفكر في ايه حتي بحمد ربنا اني مستغليتش الموضوع دا في حاجة وسخة وبحمد ربنا علي اللي وصلتله لوحدي بدون رقابة ولا حساب والحمد لله طلعت واد طيب غلبان مفيش مني قلق يعني يارب تكمل علي خير بقي مش عايز اخيب علي كبر
99765,الطبيعة و الشمس حلوين حتي مزاجي يتحسن بس الذبان كل ما اروح بعيش اللحظة بيدخل في اذني اغطيها بشعري و يلقاها
99804,عطونا حاجات قديمه كنتم تحبونها وماعادت موجوده انا بالنسبه لي كنت احب هالاثنين مدري ليه اختفت
61738,هل كان اطلاق سراح الميسري والجبواني بعد ايقاف عبثهم في عدن صحيح ام خاطئ ؟ ماهو قرارك ؟ ولماذا ؟
93266,ليتني مادبغت بالمندي لان بطني قاعد يوجعني والمشكلة كثرت بهارات وشطة علي الرز
103778,قعدت اقول ل مروان انت لسه عيان ياه وازاي وانا الي تعبت ف الاخر بركاتك ي مارو
21009,كل المواساة كاذبة ؛ انا من خضت هذا ، انا وحدي من يعرف مقدار الالم
32278,اللهم رب الناس اذهب الباس عن زوجي اشف انت الشافي شفاء لا يغادرسقما رب معجزة من عندك ترفع عنه وتجعل وضعه مستقر وتعوضنا خيرا مما فقدنا ليله القدر
30448,مديري ال حسبي الله عليه يوم ترقي و طلع من الادارة صار مكانه فاضي و انا الوحيدة في الادارة السينيور و المفروض اكون مكانه لانه بديهيا مافي غيري اصلا بس لا قرر مديري قبل لا يطلع يعطي ترشيح لوحدة في الادارة اللي هو رايح لها تمسك مكانه
91616,شفت تغريدة و دخلت اتلصص علي حسابات اللي رادين عليها وشفت ذا
113252,هو ايه بقي كل المشاهير مش عارفين يجيبوا حد يغني في افراحهم غير احمد سعد يعني ولا ايه
112450,البنت اللي كانت بتقول دا مجرد كلام و مفيش دليل و بتحارب من امبارح علشان تطلعه مظلوم طلعت صاحبته
121606,حضرة صاحب الجلالة السلطان هيثم بن طارق المعظم حفظه الله ورعاه ينعم بوسام الاشادة السلطانية علي عدد من الشخصيات النسائية العمانية وقامت السيدة الجليلة حرم جلالة السلطان المعظم حفظها الله ورعاها بتسليمهن يوم المراه العمانيه اكتوبر
124822,يااااا رب ، ، صبرني بس لاخر السنة وكله يهون بعدها طب
67835,ساعات بتمني الحاجه واحنا مش قصدين ساعات بتكون في مكان ونقول ياه انا نفسي ادخل هنا وتمشي وانت مش علي بالك انك هترجع للمكان ده وتقف فيه ساعات بتمني وانت مش عارف اوعي تفتكرني مجنونه بس فكر كدا هتلاقني بقولك حاجه حقيقيه
94379,لما يكون تعليمكم صح ورقابتكم صح اعمل ه اونلاين لما تكون الدكاتره مؤهله ل استخدام الانترنت والاجهزة اعنلوه اونلاين اكثر من هيك نصب ما شفت بعد ما سجلنا ودفعنا هيك عملتو ؟ ؟ مقاطعة التعليم عن بعد
26088,اول عيد منغير تيتا خامس عيد منغير جدو الغيد مش ليه طعم منغيركم اللهم اجعل قبريهما روضا من رياض الجنه
59284,اتمني تبقي الاسئلة من المنهج ولعل وعسي متبقاش من مجرة تانية
117066,اعتادنا ان نمدح الاشخاص بعد موتهم في حين انهم كانوا في اشد الاحتياج و هم احياء الانبا مكاريوس
51786,يامن شراله من حلاله عله اقسم بالله مسكين طاح بفئه قذره
61647,لما يوصلون لمرحله اك براحتك اعرف انهم مو بس غلط الا الغلط بكبره فوق اني اكره هالكمتين واشوفهن كرنج مايوصل معي لهالمرحله الا شخص هو وصلني لها وناوي يحط الغلط علي ويخليني انا انهي العلاقه ولكن لن يحدث هذي المره ومارح انبس بحرف وولا بتناقش يكفي تبرير لناس ما احترمت وجودي معها
47658,احس وجهي بدا يصير احلي شكله الاستروجين او جو الساعه اربع بالليل او انه ادراكي
109657,افراحكم سالفه صديقتي السايكو مو نرجسيه سايكو وليش حنا مو صديقات
113018,انا فتاة اجتماعية مع الناس الذين يدخلون مزاجي فقط غير ذلك انا مصابة بالتوحد
74300,بالنسبالي من زمان السعاده عمرها ماكانت في السفر ولا في فلوس ولا تليفون جديد السعاده كانت في ابسط الاشياء انك تساعد حد تغير في حياة حد في لمه صحاب بسيطه مش بتتصنع قصادهم اي حاجه ولا انت مضغوط تحافظ علي برستيج والاهم انك تستغني انك تروض نفسك اكتر حاجه نفسك فيها تحرم نفسك منها
64977,دكتور بيدافع عن متحرش و ممرض بيحرض علي التحرش و من كام شهر في كام طالب طب اتفضحوا انهم بيهددوا بنت الا تصاب و قبليها واحد صور نفسه و هو بيعترف انه اتحرش بمرضي بقول اننا نروح لدكاترة ستات علشان في دكاترة بتدافع عن متحرش واحد غبي مبيفهمش انت بتعممي ليه ياللي منك لله
79237,لانروق لهم لاننا بوجه واحد و يصعب عليهم التعامل معنا فيطلقون علينا اشخاص معقدين
118269,بشوف كلام الشخص اللي بيقول هفضل جمبك ومعاك اشوف افعاله اللي كانها بتقول انا قاصد اخسرك ؟
55442,جماعه انا في الحقيقه شخص محترم فشخ انت لو قابلتني عمرك ماحتتخيل ان السفاله دي تطلع مني عارفين الدكتور ابن الناس اوي بس دايما اقول متامنش للمحترم ده اللي حيفشخك في افكارك بس ميزه العيشه بره انك بتعيش علي راحتك بشخصيتك الحقيقه لحد ماترجع بلدك وترجعلك اعراض
44615,اليوم اكلت ايس كريم وعورني بطني من السكر و لا كان لذيذ
1890,اهخخخ ودي اروح اليوم الصالون مع اختي واقص بوي بس خلاص ما اصدق و شعري يطول
91231,انت تفيض لكن الابجدية لا تكفي لجمعك ، لذلك عوضا عن ان تقول شيئا ، تقف مجاورا للصمت
29278,هذا نهار فكرني في العيد تاع العام لي فات حالتنا حال لي حاصلة مع القاطوا لي مشراتش حوايج وتوجاد تاع العيد وكنا خايفين يقولونا غدوة العيد يايما وممباد طلع متمم لشهر رمضان ذيك الفرحة وليت نولوول وحدي حتي امي قاتلتي بنتي هبلت نهار مايتنساش صراحة يجعل ربي يغفرلنا
78994,عندي قناعه انه جمال النساء مبالغ فيه وهو نابع من اهتمام مفرط بنفسهم ولا اقدر اجيب لك ذكر اشيل شعر جسمه كله ليزر ويطول شعره ويحط كريمات بيكون نفس البنت بالضبط ولا اجيب لك فيمبوي نازل عنده الهرمون يكون ابيض يطول شعره بيطلع احلي من نصهم بعد واكبر دليل اغلب الاطفال الذكور يكونون اجمل
8382,وقد اخونك مع بلادي ، ي ريت فيي حبك اصلا تخونك
82076,خالد الزروق لوثث اغنية ذكري ياكولب اطلب التعويضات فورا من الالتهابات الي جرت في الاذن الوسطي لي جراء استماعي لاغنيته التافهة ذكري
20344,رفعو ضغطي تهاوشت معاهم مع الصباح ذا ذولا حتي الكفار مايايدون التصرف ذا وهم فرحانين ويضحكون ويقولون يبغونا نتعاطف معها ياربي صدق مرضي وعديمين احساس زي ملك انا عادة ماحب اتجادل بس الاغتص ب اكرهه واكره اللي يدعمه ويتضحك عليه وغير اللي تقول الممثله عاجبها ودايم تمثل الادوار ذي
78317,سويت مصيبة وربي ستر عليك ومحد قدر يكشفك وجهك طول اليوم
45959,سيتم استخدام هذا الحساب لتقديم استشارات واجابات طبية متخصصة للاشخاص الذين يعانون من اضطرابات التوازن ، الدوخة ، الدوار
55326,حتي طير اختي راح لانه متوحش كان يحبني انا بس ويرقص لي صرت احلم فيه انه يبي يطير عندي وانا اخاف يعضني وحتي لو عضني اصلا ما كان يعضني بقوة كان يجرح الباقي بس
83938,لا تقلق حين اعاتبك ، بل افعل حين اتوقف عن ذلك
75783,صباح الخير ونعوذ بك من ضياع السعي وقلة التوفيق وفقدان البصيرة
68839,لا اميل للضعف وان ادركني التبعثر ، انا بخير ولو كسر احد اضلعي ، انا بخير دائما
34494,طيب كيف عرفتي انه حسد قوي انا بعد اشك فيني
17571,ازرع جميلا ولو في غير موضعه ما خاب قط جميل اينما زرعا ان الجميل و ان طال الزمان به فليس يحصده الا الذي زرعا
29012,ماعلينا مين متحمس لتوب شيف ؟ اليوم الحلقة الاولي الموسم الثامن
14628,شارع فاضي و ضلمه و ممكن اتخطف فيه ماي تايب
78000,ما اعتقد ان كنت في يوم من الكارهين او الحاقدين مشاعر بغيضة لا تشبهني و عبء يجب عليك الا تحمله ان لم استلطفك فشعوري نحوك بالعدم خام وغزير
77047,السلام عليكم ، ، يا اخي هذي القائمة تنشر في تداول يوميا
15898,اصاله نازله باغنيه جديده بتقول مره واحد حب واحده قالها عمري ماهسيبك لفت الايام وباعها قالها عادي نصيبك اصاله لو قاصده تلقح علينا مش هتعمل كدا
26591,سبحان الله و بحمده ، سبحان الله العظيم ، لا حول ولا قوه الا بالله ، استغفرالله نجلاء عبدالعزيز
36282,لازم في الشهر مرة او مرتين اكره اهلي لمدة يوم
84612,اسال شادي م بيقولي احنا ف علاقة بقالنا سنين و بنحب بعض جدا بس هو زبره صغير و انا مش مبسوط خالص ف السكس و هو حاسس و قالي من شهر انام مع ناس تانيه بس انا عارف اني لو عملت كده ده هيوجعه جدا و انا بحبه و مش عايز اجرحه بس انا عايز سكس حلو محتار و مش عارف اعمل ايه
82008,هالسنه حقيقي علمتني ان العيش والملح مكانهم الحقيقي بالمطبخ مش بالعشره لان حتي العشره طلعت انتاج صيني مع الاسف
72329,هذا المواطن قرر يصمم بيته علي شكل سجن الكاتراز عشان محد يشوف اهله وعشان الخصوصية فجعل بوسط البيت صالة مفتوحة السقف تطل عليها كل النوافذ بعني مافيه اي او نافذه تتنفس لخارج المنزل ، وانما كل النوافذ متجهة لصالة البيت الشك مرض ضرره يتعدي الشخص ويعيث بحياة من حولة سلبية
94501,البيريود داهمتني و هرموناتي ضاربه اريد ثلاثينيه ابكي في حضنها
1517,ترا محد مهتهم انها تمطر عليك نسوان تلايطي علي شحم ههههههههههههه
83460,متقهوية ومروقه مليون ومن رواقتي احس ممكن اجيب العيد الله يستر
91355,مساء الخير بجدد كرهي للرجالة بشكل عام و للمنيا و الشرقيه بشكل خاص
105438,شرح خدمة عدلية خطوات اصدار وكالة الكترونية عبر منصة ناجز ناجز يغنيك
51788,قصه رعب لو مكانها وقف قلبي اسمعوا من يصحيها وهي نايمه
94977,وزارة التعليم السعوديه تفتح ابواب مدارس التعليم لابناء الاخوة السودانيين القادمين الي السعودية بتاشيرة زيارة للتدريس ابنائهم علما ان الدراسة مجانية بدون اي رسوم من الصف الاول الابتدائي حتي الصف الثالث الثانوي اهل باهل السودان بين اهلهم اهلا بالكرام ابناء الكرام
118231,طفلي الداخلي يفرح جدا وتخليني اركز بحب لباقي المحاضره كلها
15833,وفضلت بخدع نفسي شوفتوا وصلتوا بيا لفين وازاي هيفهموني دول ناس بيشوفوا ب نص عين
31077,تنفيذ حكم القتل في مواطنين اقدما علي ارتكاب افعال مجرمة تنطوي علي خيانة وطنهما ، واعتناق منهج ارهابي يستبيحان بموجبه الدماء والاموال والاعراض ، ودعم الارهاب والاعمال الارهابية ، والتستر علي عناصر ارهابية ، والسعي للقيام بعمليات ارهابية داخل المملكة وخارجها ، والتحريض علي الاخلال
106739,كل الفيديوهات اللي طلعالي علي تيكتوك النهاردة دمها خفيف فششخ وانا نادرا ما بضحك الضحك دا
79165,يخوان فعاليه بدينار تاريخ ميلادك نشوف بتصادفوا حدا نفس الاشي ؟
54928,الاعجاب برجل في شي محرج مره والله اتخيل يعجبني رجال بس
14360,و في القسم طبعا دامك متهم اكيد الكل ينظرلك نظرة المجرم الحرامي وانت عارف نفسك مظلوم بس في نفس الوقت ما تقدر تحط عينك في عيونهم
123805,تذكرون نقاش ايهم صح انك تكون مع شخص وبنفس الوقت تحاولون تعالجون عقدكم مع بعض ولا تكون مع شخص متشافي وسليم نفسيا ٪ ؟ الخيار الاول مادري عنكم بس صدق الخيار الاول الطريق وعره بس ترا كل مطب يقربكم لبعض اكثر
95779,علاج المحسود الفاتحه مرات اية الكرسي مرات سورة تبارك الملك مرة واحدة وان يكاد الذين كفروا ليزلقونك بابصارهم لما سمعوا الذكر ويقولون انه لمجنون وماهو الا ذكرللعالمين مرات الاخلاص مرات الفلق والناس مرات والله الشافي
75367,يعني مش حاسة ان ده وقت مناسب لتدخل القولون بصراحة
11223,صارت فعاليه ببيتنا الان شغالتنا تهاوشت مع اختي و زعلت تبي تروح تكفون لا مقدر اعيش بدونها واللحين ليكون برجع انظف لاااععاع تكاك
120420,تعزيزات اخوانية باتجاه لودر والوضع علي صفيح ساخن رسالة للمعنيين بالامر
115402,يوما ما راح انام واصحي اليوم الثاني بدوله جميله ومحببه لقلبي بصحي سعيده مطمئنة من اني مارح اسمع اصواتهم خلاص بفتك من اذاهم وشرهم وقرفهم وحياتهم الممله
121554,وسط مدينة غزة امراة تصرخ في وجيه المحتفلين علي ماذا تحلو علي دم الشهداء
18007,بنات عادي تفهموني ليش تنزلون وجيهكم واجسامكم بتويتر والله ماله داعي يارب لاتبلاني
95759,بالله يا احمد اسال ابوك بتاع المواشي الجنيه يشتري كام بقرة
71143,من النعم في الثورة دي انه الاعلام العربي المنافق بعيد عنها و ما بيغطي الاحداث ، الناس تستمر في تغطيتها و توثيقها لكل حاجة لحد ما تسقط بس و ربنا يحفظ المعتصمين كلهم اعتصام القياد العامه اعتصام القيادة العامة السودان
4839,انا وامي النقاش بتاعنا بيبقا سخن اوووي علشان احنا الاتنين اعند من بعض
84487,يارب بس عشانها تزوجت بشكل عام مو عشان كاني ويست
74221,صح زعلت وعملت ارتويت لك و فيك تقومي بحظري عادي بس ماراح تعرفي حساباتي الاخرين لي متابعتك منهم
5345,نعم وكان صناعه الانمي لايمكن ان تكون اسواء من ما هي عليه الان مثل انمي بيضه العجائب التلميحات فيه جعلتني اشعر بالشمائزاز اعلم انه ليس الوحيد لاكن لم استطع ازالة شعوري بالقرف احساس القذره هذا استمر حتي اخر حلقتين حتي قررت التوقف عن المشاهده
26042,متواجدون لخدمتكم بمراكز الاتصال في الفترة الصباحية من الساعة صباحا لغاية الساعة مساء وفي الفترة المسائية من الساعة مساء حتي ليلا علي الارقام التالية و
59569,يارب اشفني شفاء عاجل وكل مريض يارب زاد البلاء وقل الدواء وانت الله اللذي لايعجزك شيء في الارض ولا في السماء قل للعافيه ان تكون فتكون اللهم افرج همومنا واغفر ذنوبنا وارحم موتانا وتجاوز عنهم ساعه استجابه
71606,جيت بسجل بسكن الجامعه لقيتهم حاطين ثلاثه بغرفه وماتطلع وتدخل بعد سجن قسم بالله
54103,كمال اجسام فتنس اياك ثم اياك من ممارسة هذا التمرين فهو مؤذي للكتف علي المدي الطويل انصحك بالابتعاد عنه وممارسه البدائل
47962,و مالت علي حظي انا و هو طحنا ع خميره مانشرب غير الفودكا
88695,لن ترهبونا ، ورد ابطالنا في مواجهة الارهاب سيكون في الميدان ليس بالغدر واساليب الجبناء كل من يرعي الارهاب وقامت الادلة علي تورطه فيها لن يكون في مامن ، وستسمعون صراخ النائحات امن الجنوب خط احمر
89527,ترا مرات عشان افهم اروح ل يشرح لي وش يقصد كرجال لانه
107943,اهخخخ قلت كومنت قسم بالله ماقصد ماستوعبت الا يوم الشخص اللي قدامي ماضحك وان كومنتي عباره عن تقليل وعنصرية ووجهي صار لا لحضه بشرح لك انها ذبه متعارف عليها ماقصدها بالشكل الفعلي
44799,عندما تموت العاطفة ويتحكم العقل ، تبدا المتعة في تصفية الحسابات ، نحن سنلعب كما يلعبون وبحجم الالم سيكون الانتقام
86381,انا بعك في حياتي كتير و دا مش عشان انا حد وحش عشان انا حد تايهه
52543,غالبا كل انسان يقدم للاخرين ما يحتاج اليه لذلك من يكثر السؤال عنك يريدك ان تسال عنه ومن يهتم بك يريدك ان تهتم به ومن يمنحك الحنان هو ايضا ينتظره منك
66519,وحدة في الدوام تسالني كيف القهوة ؟ قلت كااايفه قالت يالله من فين طلعتي الكلمه ما اذكر متي اخر مره سمعتها
99565,عن حلاوة العيال الي ماسبتش حته زخنوق في الشارع ماحطتش فيه زينة رمضان وهما طول النهار بيسبو في الدين
103845,كسرت القزاز وسرقت اللي ف العربية ها ايه تاني يا حرامي
67039,بلعن واقعكم من خلال فضفضة صادقة هاتلي كلمة واحدة كدب او تضرك كل اللي اتقال كان تكوينه حقايق وكدمات حتي اصعب الكلمات كانت بتبني سفينتك لكن اللي كرهته انك تاخد كلامي كمخدر يخلق منك مدمن تاخده لما تحب تحس ان في حد قال اللي جواك انا عاوزك توصف للكل المستنقع اللي انت شوفته
111859,فاتني ان اكون دقة قلبك الاولي ، شخصك المفضل ، صديقك الدائم
113360,اهلا بكم في اول نشرة اخبارية لحساب قوت عـنـوان الـنـشـرة الـيـوم امـارة ابوظبي ، والمرتزقة الاعلاميون وشكرا لكل دعمكم الصادق هذه مجرد البداية الامارات
119150,وذكر فان الذكري تنفع المؤمنين سبحان الله الحمد لله لا اله الا الله الله اكبر استغفر الله لا حول و لا قوة الا بالله سبحان الله و بحمده سبحان الله العظيم اللهم صل و سلم علي نبينا محمد
76876,يعععع الدلو كذاب منافق مراوغ مستحيل يقول شيء الا فيه لف ودوران ككككككككذاب كبببييييير ولعاب وزير نساء
120907,وانتي حمده بنظرك حلوه ؟ ؟ ؟ والله ماهي ذيك الزود عويناتها قمط الله يستر عليها واصلن كل العائله طقم فناجيل وراعية المكياج مثلهم
80687,سبويلر مودولو يخوان ذا الي قارنتوه بسوكونا ماهوراغا عراه ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه
72290,اختي اللي ما ربت عيالها لان خايفه يزعلون منها قاعده تعطيني نصايح عن التربيه يا شيخه دزي امها
31213,برجك ايش ؟ الدلو وعيد ميلادي قرب هدايا بقي ها
80693,في عالم من البكتيريا عايش جوا الانسان ودي حياتها من اول ما اتولدت ، لكن هي مش مدركه انها عايشه جوا انسان وانها حاجه صغيره اوي وبيتبص عليها ب ميكروسكوبات ف بالتالي هل ممكن احنا بكل مجرتنا دي نبقي مجرد جزء جوا كائنات اكبر مننا وبيبصوا علينا ب اجهزه معقده وبردو احنا مش مدركين ده
17212,سقيت الغنم ودخلتهم الشبك والحين متكيه فوق اكياس الشعير افكر فيك
25304,لم التروماز تتحفز وارجع اعيش المشاعر الحادة والركض الفكري واكتب واكتب واكتب مو كتابة ادبية واسمع اغاني رومانية وارسم الاشياء الي اشوفها بعقلي
21688,ان الروح مهما امتلكت ستبقي حزينة دائما ، هذا العالم ليس بيتها
62346,عظمي في الخيانة عظمي في الغدر عظمي في الفشل فمن هي ؟
17255,غريب الانسان ؟ يحبك بالكلام ويقهرك بافعاله ترا فيه فوق بين اللي يتطمن عليك كل دقيقه بدون ملل وشخص يسحب عليك وبنهاية يقولك احبك واشتقت لك
59426,كان فيه فيلم ميرفت امين كانت قاعدة مع خالتها تقريبا احسان القلعاوي البخيلة وكانت بتعملها فول وتقولها انا باكل الميا بتاعت الفول واسيبلك الفول عشان تقيل علي معدتي انا عاوزة اعرف اسم الفيلم لاني شفته مرة وانا صغيرة وبقالي يجي سنة بفتكره كل ما اكل فول
17790,طالع لي مقطع واحد يتكلم عن الاستغفار وحاط ان عنده دورة الاستغفار العظيم بمادري كم دولار والثاني يبيع دعاء بالف وشي ، وربي اني مصدومة ان بهالزمن ذول مازالوا يسوقونها علي الناس واللي مزعلني ان اكثر من يدفعلهم ويتفاعل معهم نساء
28207,يعني مفيش طريقه تخليني مصحاش من دبة النمله بصراحه انا تعبت
95658,ماادري هل فعلا ممنوع دخول المستشفيات الا بلقاح هذا موضوع انساني والمريض يضطر يتعالج بالمستشفيات الله المستعان
111393,السلام عليكم ورحمه الله الله يسعدك وييسر امرك انا كنت ارقب في الاختبارات في قياس ونقلت ابها اذا فيه امكانيها ادخل المراقبه من جديد
128553,مين اهلها نفس اهلي كذا كل يوم اشحذهم وكل يوم يقولون لي لا وبرضو يوروني مقاطع بسس يعني حدك نظر
121537,بعد اللي عملته الشرطة الاسرائيلية المصرية في شعب مصر وضربهم بالرصاص الحي احب اقول للناس اللي كانت مستنية ده
19683,رحلة فيديو تيك توك ما افهمه وافتح الكومنت بعدين اشوف كومنت مافهمت وتحته كم كومنت بعدين افتح الكومنتات اللي تحته وكلها فهمني اذا فهمت
3181,يعني فوق ما انك لاعن ابوه كمان تبغاه يغنيلك ؟ وش ذا البجاحة
30568,قال الشيخ السعدي علم التعبير من العلوم الشرعية ويثاب الانسان علي تعلمه وتعليمه وتعبير الرؤيا داخل في الفتوي فلا يجوز الاقدام علي تعبير الرؤيا من غير علم
27302,كل محاضرة لدكتور قزاز بفتكر الفيديو بتاع المحامي اللي بيقول انا رقم واحد علي كوكب الارض
64748,المحيط قادرين عليه الي بيجلطني السعوديين يعاملون المحيط باخلاقهم وقيمهم
61472,اكتشفت ان الجامعه ربعها من المنصوره و ربع من طنطا و ربع من الشرقيه و الربع الباقي متفرق علي باقي المحافظات
21667,تم بحمد الله اليوم اقامة محاضرة بعنوان هل هو التوحد ؟ للدكتور خالد حمزة مدير عيادات السلوك العصبي في تكساس
30463,مشاعري في السماء والله في كومة حزن ع قلبي قسم بالله ما وقته لاحقين ع الحزن والزعل ، عايزة افرح ومسيبش اي مكان لاي حزن ، الفرحة واللحظة دي هي اللي بستناها طول عمري من وانا في حضانة وانا داخلة بتعلم ازاي اكتب حروف اسمي ، الله يتممها علي خير ونفرح بجد ويشرح قلوبنا وصدورنا اللهم امين
7997,هل ان طايرات الحوتي عاجزة عن الوصول الي المهرة لماذا لا يجربون بواحدة منها
31587,هو الناس اللي بتكتب رقم الموبايل بتاعها فال عايزين ايه ؟
14956,تجيني حسابات دعم كثير ع اساس يصير حسابي نشط اكثر وكذاا مايدرون اني احبه لهذا السبب بالضبط ؛ كونه صغير وصادق ومجهول ومخصص للبكبكة ويجهلني الجميع فيه عدا شخص و الخ المهم لا
29997,انا انسانه اميل للاستكنان والخيال الواسع يعني ، اذا شفتيني جالسه لحالي تاكدي اني معزومه في كندا
63558,انقهرت مرررة علي مريضة قاعد يشرح لها الاستشاري باسلوب كانه يهاوش والمريضة انفعلت شوي وواضح انها موب فاهمة زين يوم طلع حاولت الدكتورة الموجودة بالعيادة تشرح باسلوب افضل لكن المريضة انهارت وطلعت فجاة
67296,دايم بنت الرجال ماخوذ حقتها عشان كذا يقدرون عليها ويزوج ولدهم الثانيه عليها لانهم يشوفون انها طيبه وماراح تزعل مردها لبيتها
820,لازم ارسي علي مكان معين واختار وجهتي اذا بقيت هيج راح اعيش بتشتت لانهائي
102080,ردي ع سمحة بشكل اوضح بس انت ياتركي كمن فسر الماء بالماء
34452,ونحترم بعض هل في راءيك هيجي يوم الناس كلها تتوحد
75435,مادري شلون صار ذي حلمنا مرة وحدة عقب ما كان لا اريد الدخول في هذه القوقعة اريد ان اكون امراة مكافحة واحقق احلامي
76247,لو نص ساعه مارديتي رجع طلبك للفرع وقالهم الزبونه ماترد اما هو يرسلك الصبح يجي بالليل انتي انتظري كل هالساعات ع اعصابك لو عندك طلعه تاجلينه بعد
108440,يارب هون ب الفتره دي عشان والله انا قلبي مفهوش ذره طاقه يتحمل
92599,ابناء المسؤلين والتجار المقتدرين اول من يتعينوا بالوظائف واول من يبتعثون للدراسة بالخارج واول من يدخلوا الجامعات واول من يرقون اليس بالاحري ان تكون الافضلية لابناء الشهداء والفقراء فهم من يحتاج للدعم بينما ابناء المقتدرين والمسؤلين ليسوا بحاجة لذلك فعندهم مايكفيهم للعمل اوالدراسة
109053,ما اعرف ليه الكيريوس قلب شكاوي نسوية ووطنية ، ما ادري من قايل لكم اني سراج ولا كولومبوس ، ما لي علاقة بالموضوع انا
113774,يا جماعة جربت كل الطرق لايقاف تصحيح الكلمات بالكتابة بكل وسائل الضبط ومش زابط افيدوني ولا كلمة صح وبعيد مليون مرة الكتابة لطفا
39302,محتاجين حرب ممنهجة ضد اللوكال براندز اللي مش مدركين انهم لوكال براندز بجد
35813,الصورة الثانية بعد ما طبقت التغذية الحدسية ، تعلمت اسمع جسمي واحس باحتياجاته ، الاكل صار نعمة يقوي جسمي وعقلي ، صرت احل مشاكلي بعيد عن الاكل ومن هنا بديت العلاج النفسي والتدوين وحتي حسابي هذا و الحركة صارت للمتعه ولزيادة سعادتي وتفريغ مشاعري ، ونتيجة هالتغيير واضحة علي حياتي وجسمي
25246,يارب يتصور معي يتصور معي مو انا اصور معه رجاء
46006,ترا قاعد اشرب شاهي وارد بصباع واحد ف انتي شادتها نقاش ثانيا تراني واري اشغال ماني فاضي اكتب جرائد ثالثا ماتشعرين انك تكتبين كثيرر رابعا عشان اعطيك فرصه جوهرية بفتح سبيس ونسولف في هذا الموضوع ي عالمة المنطق قولي تم وفتح سبيس لعل وعسي تقنعبني باجوبتك المنطقيه
34331,مو مبالغة ابد ولاريد احجي بشنو امر حتي كدام لعيشوني اياه بس اسكت وادور حل لنفسي علمود ابقة ثابتة لهذا انا قررت احتار الحياة حتي لو طاردني الموت وبس
260,لطالما اثار الشيطان الخوف والرعب في نفوس الناس ، وتحمل شخصيته في طياتها الكثير من الاسرار والالغاز ، وتضرب اسطورة الشيطان بجذورها في اعماق الحضارات الانسانية ، وحظيت باهتمام كبير من الفلاسفة والعلماء والادباء والفنانين علي مر العصور في هذا المقال
95780,في ناس عايشين عالم احسن من اللي عايشة فيه فتحت الانستا شفت استديو يسوي جلسة يوغا مكس و الانستركتر من الاساس بدون عباية
4602,يلا حبايبي ذيول ايران وامريكا مالكم مكان بالعراق حظروا الجنط ويلا كل واحد بوجهة للمطار ما بقالكم واحد يلفيكم العراق مليونية العراق
10521,اممم هما الرجالة بيبقوا قاصدين ان لما تقضي يوم مع حد ميكلمكيش تاني بعدهت و كان شيء لم يكن ؟ و يوم هنا اقصد بيه حاجات كتير بس النتيجة دايما واحدة
2506,حين كنت ناصرية كانت العروبة همي حين كنت اسلامية كانت الامة همي حين عدت الي نفسي لم اجدها
108250,وايش رايك بالطبيب الي اصرت والحت عليه الام مايعطي طفلها مضاد ومع ذلك اعطاه لمدة اسبوع وادخل الخوف علي قلب الام بانها مهمله ومقصره ان لم تعطه وبالاخر طلع الالتهاب فيروسي وليس بكتيري
